id,order,category_id,ka,en,ru,price,vegetarian,topRated,soldOut,description_ka,description_en,description_ru,story_ka,story_en
,,,,,,,,,,,,,,
dish_0001,10,cat_0001,ეკალა ფხალი (სეზონურად),Ekala Pkhali (seasonal),Экала Пхали (сезонное блюдо),15,TRUE,FALSE,FALSE,"ეკალა, ნიგოზი, ნიორი, ძმარი, ქინძი, სუნელები","Ekala (wild smilax), walnuts, garlic, vinegar, fresh cilantro, spices",,"A true taste of Georgian spring! Ekala, or wild smilax, is forged in the forests and seasoned with a rich walnut paste. It's a seasonal delicacy that brings the freshness of the wild directly to your plate.","გაზაფხულის ნამდვილი გემო! ტყეში შეგროვებული ეკალა, შეზავებული ნიგვზითა და სუნელებით - სეზონური დელიკატესი, რომელიც ბუნების სიჯანსაღეს პირდაპირ თეფშზე გთავაზობთ."
dish_0002,20,cat_0001,ბადრიჯანი ნიგვზით,Eggplant with walnuts,Баклажаны с грецкими орехами,16,TRUE,FALSE,FALSE,"ბადრიჯანი, ნიგოზი, ნიორი, ძმარი, უცხო სუნელი, ხმელი ქინძი, ბროწეული, ზეთი","Eggplant, walnuts, garlic, vinegar, blue fenugreek, coriander, pomegranate, oil",,"The king of Georgian appetizers, 'Badrijani Nigvzit' combines fried eggplant strips with a creamy, spiced walnut filling. Pomegranate seeds add a burst of jewel-like acidity to this rich, nutty masterpiece.","ქართული სუფრის მეფე. შემწვარი ბადრიჯნის ზოლები ნიგვზიანი საცხით, რომელსაც ბროწეულის მარცვლები და მჟავიანობა განსაკუთრებულ პიკანტურობას სძენს."
dish_0003,30,cat_0001,ისპანახი ნიგვზით,Spinach with walnuts,Шпинат с грецкими орехами,14,TRUE,FALSE,FALSE,"ისპანახი, ნიგოზი, ნიორი, ძმარი, ცოცხალი მწვანილი, სუნელები, ბროწეული","Spinach, walnuts, garlic, vinegar, fresh herbs, spices, pomegranate",,"Green Pkhali is a healthy, vibrant dish where minced spinach meets the classic Georgian walnut-garlic paste. Garnished with pomegranate, it's a testament to how Georgians turn simple vegetables into a feast.",ჯანსაღი და გემრიელი არჩევანი. ცოცხალი ისპანახი და ნიგვზიანი საკმაზის კლასიკური დუეტი - აუცილებელი ატრიბუტი ნებისმიერი სუფრისთვის.
dish_0004,40,cat_0001,წითელი ფხალი ნიგვზით,Red Pkhali with walnuts,Красный Пхали с грецкими орехами,14,TRUE,FALSE,FALSE,"ჭარხალი, ნიგოზი, ნიორი, ძმარი, ცოცხალი მწვანილი, სუნელები","Beets, walnuts, garlic, vinegar, fresh herbs, spices",,"Made from beets and walnuts, this vibrant red appetizer is as pleasing to the eye as it is to the palate. Earthy beets are transformed by the aromatic blue fenugreek and coriander spices.","ჭარხლისა და ნიგვზის ჰარმონიული შერწყმა. ეს კერძი არა მხოლოდ გემრიელია, არამედ სუფრასაც ამშვენებს თავისი მკვეთრი ფერითა და არომატით."
dish_0005,50,cat_0001,მწვანე ლობიო ნიგვზით,Green beans with walnuts,Зеленая фасоль с грецкими орехами,14,TRUE,FALSE,FALSE,"მწვანე ლობიო, ნიგოზი, ნიორი, ძმარი, ცოცხალი მწვანილი, სუნელები","Green beans, walnuts, garlic, vinegar, fresh herbs, spices",,"Fresh green beans are elevated with a savory walnut dressing. This dish is a staple at the Georgian 'Supra' (feast), offering a crunchy, nutty texture that perfectly complements meat dishes.","მწვანე ლობიოსა და ნიგვზის ტრადიციული შეხამება. ხრაშუნა ტექსტურა და მდიდარი გემო, რომელიც ხორცეულს იდეალურად ერწყმის."
dish_0006,60,cat_0001,პრასი ნიგვზით,Leeks with walnuts,Лук-порей с грецкими орехами,16,TRUE,FALSE,FALSE,"პრასი, ნიგოზი, ნიორი, ძმარი, ცოცხალი მწვანილი, სუნელები","Leeks, walnuts, garlic, vinegar, fresh herbs, spices",,Tender leeks are marinated and dressed in a savory walnut sauce. This dish highlights the Georgian philosophy of using walnuts to add depth and protein to fresh garden vegetables.,"მოთუშული პრასი ნიგვზიანი საკმაზით. კერძი, რომელიც ხაზს უსვამს ქართული სამზარეულოს ფილოსოფიას - აქციოს მარტივი ბოსტნეული ნამდვილ დღესასწაულად."
dish_0007,70,cat_0001,ბოსტნეულის ბუკეტი,Vegetable bouquet,Овощной букет,20,FALSE,FALSE,FALSE,,,,"A colorful assortment of fresh seasonal vegetables. In Georgia, fresh herbs and raw veggies are essential table companions, meant to be eaten by hand to cleanse the palate between rich courses.","სეზონური ბოსტნეულის ნაირსახეობა. ქართული სუფრის განუყოფელი ნაწილი, რომელიც იდეალურია მძიმე კერძებს შორის გემოს გასანეიტრალებლად."
dish_0008,80,cat_0001,აჯაფსანდალი,Ajapsandali,Аджапсандали,20,FALSE,FALSE,FALSE,"ბადრიჯანი, პომიდორი, ბულგარული წიწაკა, ხახვი, ნიორი, ქინძი, რეჰანი, ზეთი, სუნელები","Eggplant, tomatoes, bell peppers, onions, garlic, fresh cilantro, purple basil, oil, spices",,"A Georgian summer ratatouille! Eggplants, peppers, and tomatoes are stewed to perfection with fresh herbs. It’s said that a good Ajapsandali should be spicy enough to wake you up but sweet enough to make you smile.","ზაფხულის არომატი ერთ თეფშზე. ბადრიჯანი, წიწაკა და პომიდორი, მოთუშული ცოცხალ მწვანილებთან ერთად. კერძი, რომელიც ერთდროულად ცხარეცაა და ტკბილიც."
dish_0009,90,cat_0001,ფხალის ასორტი,Assorted Pkhali,Ассорти Пхали,28,TRUE,FALSE,FALSE,,,,"Can't decide? This platter offers a colorful mosaic of Pkhali varieties—spinach, beet, and more. It’s the perfect way to sample the diversity of Georgian plant-based cuisine in one go.","ვერ გადაგიწყვეტიათ? ეს ასორტი საშუალებას გაძლევთ დააგემოვნოთ ფხალეულის მთელი პალიტრა - ისპანახი, ჭარხალი და სხვა ტრადიციული გემოები ერთად."
